seqnames	gene_id	start	end
NC_001806.2	NC_001806.2_UL43	94799	96068
NC_001806.2	NC_001806.2_UL44	96312	98669
NC_001806.2	NC_001806.2_UL45	98033	98669
NC_001806.2	NC_001806.2_UL46	98727	100953
NC_001806.2	NC_001806.2_UL47	98727	103117
NC_001806.2	NC_001806.2_UL48	103538	105080
NC_001806.2	NC_001806.2_UL49	105463	106392
NC_001806.2	NC_001806.2_UL49A	105463	106994
NC_001806.2	NC_001806.2_UL5	11754	15132
NC_001806.2	NC_001806.2_UL50	107011	108158
NC_001806.2	NC_001806.2_UL51	108277	109012
NC_001806.2	NC_001806.2_UL52	109049	113449
NC_001806.2	NC_001806.2_UL53	112180	113449
NC_001806.2	NC_001806.2_UL54	113735	115283
NC_001806.2	NC_001806.2_UL55	115497	116104
NC_001806.2	NC_001806.2_UL56	116197	116926
NC_001806.2	NC_001806.2_UL6	15131	18041
NC_001806.2	NC_001806.2_UL7	17136	18041
NC_001806.2	NC_001806.2_UL8	18211	20477
NC_001806.2	NC_001806.2_UL9	18211	23260
NC_001806.2	NC_001806.2_US1	132101	133963
NC_001806.2	NC_001806.2_US10	144124	145198
NC_001806.2	NC_001806.2_US11	144124	145495
NC_001806.2	NC_001806.2_US12	144124	146096
NC_001806.2	NC_001806.2_US2	134026	135336
NC_001806.2	NC_001806.2_US3	134937	137534
NC_001806.2	NC_001806.2_US4	136705	137534
NC_001806.2	NC_001806.2_US5	137599	141052
NC_001806.2	NC_001806.2_US6	138313	141052
NC_001806.2	NC_001806.2_US7	139670	141052
NC_001806.2	NC_001806.2_US8	141143	143697
NC_001806.2	NC_001806.2_US8A	142748	143697
NC_001806.2	NC_001806.2_US9	143223	143697
NC_001806.2	NC_001806.2_id-NC_001806.2:105463..105468	105463	105468
NC_001806.2	NC_001806.2_id-NC_001806.2:10944..10949	10944	10949
NC_001806.2	NC_001806.2_id-NC_001806.2:113444..113449	113444	113449
NC_001806.2	NC_001806.2_id-NC_001806.2:117160..117341	117160	117341
NC_001806.2	NC_001806.2_id-NC_001806.2:117161..126373	117161	126373
NC_001806.2	NC_001806.2_id-NC_001806.2:11754..11759	11754	11759
NC_001806.2	NC_001806.2_id-NC_001806.2:117548..117568	117548	117568
NC_001806.2	NC_001806.2_id-NC_001806.2:117789..117820	117789	117820
NC_001806.2	NC_001806.2_id-NC_001806.2:120496..120642	120496	120642
NC_001806.2	NC_001806.2_id-NC_001806.2:123750..123908	123750	123908
NC_001806.2	NC_001806.2_id-NC_001806.2:125334..125386	125334	125386
NC_001806.2	NC_001806.2_id-NC_001806.2:125975..126373	125975	126373
NC_001806.2	NC_001806.2_id-NC_001806.2:125975..132607	125975	132607
NC_001806.2	NC_001806.2_id-NC_001806.2:126054..126276	126054	126276
NC_001806.2	NC_001806.2_id-NC_001806.2:126573..126712	126573	126712
NC_001806.2	NC_001806.2_id-NC_001806.2:126813..127145	126813	127145
NC_001806.2	NC_001806.2_id-NC_001806.2:131980..132024	131980	132024
NC_001806.2	NC_001806.2_id-NC_001806.2:132608..145589	132608	145589
NC_001806.2	NC_001806.2_id-NC_001806.2:137511..137516	137511	137516
NC_001806.2	NC_001806.2_id-NC_001806.2:141017..141022	141017	141022
NC_001806.2	NC_001806.2_id-NC_001806.2:143672..143677	143672	143677
NC_001806.2	NC_001806.2_id-NC_001806.2:143716..143868	143716	143868
NC_001806.2	NC_001806.2_id-NC_001806.2:144140..144145	144140	144145
NC_001806.2	NC_001806.2_id-NC_001806.2:144787..145003	144787	145003
NC_001806.2	NC_001806.2_id-NC_001806.2:145681..145806	145681	145806
NC_001806.2	NC_001806.2_id-NC_001806.2:146173..146217	146173	146217
NC_001806.2	NC_001806.2_id-NC_001806.2:18036..18041	18036	18041
NC_001806.2	NC_001806.2_id-NC_001806.2:18211..18216	18211	18216
NC_001806.2	NC_001806.2_id-NC_001806.2:24801..24806	24801	24806
NC_001806.2	NC_001806.2_id-NC_001806.2:30174..30179	30174	30179
NC_001806.2	NC_001806.2_id-NC_001806.2:35024..35029	35024	35029
NC_001806.2	NC_001806.2_id-NC_001806.2:35028..35033	35028	35033
NC_001806.2	NC_001806.2_id-NC_001806.2:52767..52772	52767	52772
NC_001806.2	NC_001806.2_id-NC_001806.2:53059..53064	53059	53064
NC_001806.2	NC_001806.2_id-NC_001806.2:62404..62547	62404	62547
NC_001806.2	NC_001806.2_id-NC_001806.2:66377..66382	66377	66382
NC_001806.2	NC_001806.2_id-NC_001806.2:70938..70943	70938	70943
NC_001806.2	NC_001806.2_id-NC_001806.2:71604..71814	71604	71814
NC_001806.2	NC_001806.2_id-NC_001806.2:90982..90987	90982	90987
NC_001806.2	NC_001806.2_id-NC_001806.2:9214..117160	9214	117160
NC_001806.2	NC_001806.2_id-NC_001806.2:98664..98669	98664	98669
NC_001806.2	NC_001806.2_id-NC_001806.2:98727..98732	98727	98732
NC_001798.2	NC_001798.2_LAT	119507	127991
NC_001798.2	NC_001798.2_RL1	125578	126881
NC_001798.2	NC_001798.2_RL2	121678	125018
NC_001798.2	NC_001798.2_RS1	128027	132102
NC_001798.2	NC_001798.2_UL1	9463	11060
NC_001798.2	NC_001798.2_UL10	23247	24672
NC_001798.2	NC_001798.2_UL11	24847	25138
NC_001798.2	NC_001798.2_UL12	24847	26916
NC_001798.2	NC_001798.2_UL13	24847	28513
NC_001798.2	NC_001798.2_UL14	24847	28926
NC_001798.2	NC_001798.2_UL15	29007	34867
NC_001798.2	NC_001798.2_UL16	30180	31299
NC_001798.2	NC_001798.2_UL17	30180	33509
NC_001798.2	NC_001798.2_UL18	35087	36109
NC_001798.2	NC_001798.2_UL19	35087	40610
NC_001798.2	NC_001798.2_UL2	10010	11060
NC_001798.2	NC_001798.2_UL20	35087	41590
NC_001798.2	NC_001798.2_UL21	42239	43851
NC_001798.2	NC_001798.2_UL22	44053	46570
NC_001798.2	NC_001798.2_UL23	46845	48039
NC_001798.2	NC_001798.2_UL24	47941	53035
NC_001798.2	NC_001798.2_UL25	49074	53035
NC_001798.2	NC_001798.2_UL26	51065	53035
NC_001798.2	NC_001798.2_UL26.5	51989	53035
NC_001798.2	NC_001798.2_UL27	53402	56152
NC_001798.2	NC_001798.2_UL28	53402	58517
NC_001798.2	NC_001798.2_UL29	58840	62482
NC_001798.2	NC_001798.2_UL3	11102	11843
NC_001798.2	NC_001798.2_UL30	63300	67061
NC_001798.2	NC_001798.2_UL31	66885	67884
NC_001798.2	NC_001798.2_UL32	66885	69673
NC_001798.2	NC_001798.2_UL33	69672	71504
NC_001798.2	NC_001798.2_UL34	70154	71504
NC_001798.2	NC_001798.2_UL35	71096	71504
NC_001798.2	NC_001798.2_UL36	71538	80969
NC_001798.2	NC_001798.2_UL37	81242	84614
NC_001798.2	NC_001798.2_UL38	85097	86619
NC_001798.2	NC_001798.2_UL39	87060	91594
NC_001798.2	NC_001798.2_UL4	11884	12575
NC_001798.2	NC_001798.2_UL40	90541	91594
NC_001798.2	NC_001798.2_UL41	91764	93311
NC_001798.2	NC_001798.2_UL42	93805	95291
NC_001798.2	NC_001798.2_UL43	95469	96730
NC_001798.2	NC_001798.2_UL44	97015	99336
NC_001798.2	NC_001798.2_UL45	98687	99336
NC_001798.2	NC_001798.2_UL46	99398	101634
NC_001798.2	NC_001798.2_UL47	99398	103809
NC_001798.2	NC_001798.2_UL48	104238	105802
NC_001798.2	NC_001798.2_UL49	106249	107185
NC_001798.2	NC_001798.2_UL49A	106249	107787
NC_001798.2	NC_001798.2_UL5	11884	15287
NC_001798.2	NC_001798.2_UL50	107795	108946
NC_001798.2	NC_001798.2_UL51	109083	109842
NC_001798.2	NC_001798.2_UL52	109910	114349
NC_001798.2	NC_001798.2_UL53	113062	114349
NC_001798.2	NC_001798.2_UL54	114624	116173
NC_001798.2	NC_001798.2_UL55	116377	116981
NC_001798.2	NC_001798.2_UL56	117079	117817
NC_001798.2	NC_001798.2_UL6	15286	18201
NC_001798.2	NC_001798.2_UL7	17297	18201
NC_001798.2	NC_001798.2_UL8	18431	20703
NC_001798.2	NC_001798.2_UL9	18431	23368
NC_001798.2	NC_001798.2_US1	133741	135029
NC_001798.2	NC_001798.2_US10	146616	148033
NC_001798.2	NC_001798.2_US11	146616	147697
NC_001798.2	NC_001798.2_US12	146616	147531
NC_001798.2	NC_001798.2_US2	135148	136043
NC_001798.2	NC_001798.2_US3	136329	140059
NC_001798.2	NC_001798.2_US4	137882	140059
NC_001798.2	NC_001798.2_US5	140291	143588
NC_001798.2	NC_001798.2_US6	141016	143588
NC_001798.2	NC_001798.2_US7	142399	143588
NC_001798.2	NC_001798.2_US8	143840	146182
NC_001798.2	NC_001798.2_US8A	145326	146182
NC_001798.2	NC_001798.2_US9	145866	146182
NC_001798.2	NC_001798.2_id-NC_001798.2:106081..106201	106081	106201
NC_001798.2	NC_001798.2_id-NC_001798.2:106249..106254	106249	106254
NC_001798.2	NC_001798.2_id-NC_001798.2:11055..11060	11055	11060
NC_001798.2	NC_001798.2_id-NC_001798.2:114344..114349	114344	114349
NC_001798.2	NC_001798.2_id-NC_001798.2:118021..118043	118021	118043
NC_001798.2	NC_001798.2_id-NC_001798.2:118021..127320	118021	127320
NC_001798.2	NC_001798.2_id-NC_001798.2:118092..118235	118092	118235
NC_001798.2	NC_001798.2_id-NC_001798.2:118305..118305	118305	118305
NC_001798.2	NC_001798.2_id-NC_001798.2:11884..11889	11884	11889
NC_001798.2	NC_001798.2_id-NC_001798.2:119298..119298	119298	119298
NC_001798.2	NC_001798.2_id-NC_001798.2:122524..122668	122524	122668
NC_001798.2	NC_001798.2_id-NC_001798.2:123714..123850	123714	123850
NC_001798.2	NC_001798.2_id-NC_001798.2:126251..126378	126251	126378
NC_001798.2	NC_001798.2_id-NC_001798.2:126775..126837	126775	126837
NC_001798.2	NC_001798.2_id-NC_001798.2:126844..126877	126844	126877
NC_001798.2	NC_001798.2_id-NC_001798.2:127067..127320	127067	127320
NC_001798.2	NC_001798.2_id-NC_001798.2:127067..133708	127067	133708
NC_001798.2	NC_001798.2_id-NC_001798.2:127310..127310	127310	127310
NC_001798.2	NC_001798.2_id-NC_001798.2:132692..132982	132692	132982
NC_001798.2	NC_001798.2_id-NC_001798.2:132749..132794	132749	132794
NC_001798.2	NC_001798.2_id-NC_001798.2:132889..132934	132889	132934
NC_001798.2	NC_001798.2_id-NC_001798.2:133287..133678	133287	133678
NC_001798.2	NC_001798.2_id-NC_001798.2:133709..148033	133709	148033
NC_001798.2	NC_001798.2_id-NC_001798.2:140054..140059	140054	140059
NC_001798.2	NC_001798.2_id-NC_001798.2:143583..143588	143583	143588
NC_001798.2	NC_001798.2_id-NC_001798.2:146207..146212	146207	146212
NC_001798.2	NC_001798.2_id-NC_001798.2:146616..146621	146616	146621
NC_001798.2	NC_001798.2_id-NC_001798.2:18196..18201	18196	18201
NC_001798.2	NC_001798.2_id-NC_001798.2:18431..18436	18431	18436
NC_001798.2	NC_001798.2_id-NC_001798.2:24847..24852	24847	24852
NC_001798.2	NC_001798.2_id-NC_001798.2:30180..30185	30180	30185
NC_001798.2	NC_001798.2_id-NC_001798.2:35087..35092	35087	35092
NC_001798.2	NC_001798.2_id-NC_001798.2:53030..53035	53030	53035
NC_001798.2	NC_001798.2_id-NC_001798.2:53402..53407	53402	53407
NC_001798.2	NC_001798.2_id-NC_001798.2:62897..63032	62897	63032
NC_001798.2	NC_001798.2_id-NC_001798.2:66885..66890	66885	66890
NC_001798.2	NC_001798.2_id-NC_001798.2:71499..71504	71499	71504
NC_001798.2	NC_001798.2_id-NC_001798.2:72133..72301	72133	72301
NC_001798.2	NC_001798.2_id-NC_001798.2:91589..91594	91589	91594
NC_001798.2	NC_001798.2_id-NC_001798.2:9278..9333	9278	9333
NC_001798.2	NC_001798.2_id-NC_001798.2:9301..118020	9301	118020
NC_001798.2	NC_001798.2_id-NC_001798.2:99331..99336	99331	99336
NC_001798.2	NC_001798.2_id-NC_001798.2:99398..99403	99398	99403
NC_001348.1	NC_001348.1_ORF0	173	1060
NC_001348.1	NC_001348.1_ORF1	588	915
NC_001348.1	NC_001348.1_ORF10	12160	13421
NC_001348.1	NC_001348.1_ORF11	13590	16122
NC_001348.1	NC_001348.1_ORF12	16214	19396
NC_001348.1	NC_001348.1_ORF13	18441	19396
NC_001348.1	NC_001348.1_ORF14	19342	21113
NC_001348.1	NC_001348.1_ORF15	21244	22478
NC_001348.1	NC_001348.1_ORF16	21244	23794
NC_001348.1	NC_001348.1_ORF17	24149	25517
NC_001348.1	NC_001348.1_ORF18	25550	26493
NC_001348.1	NC_001348.1_ORF19	25550	28845
NC_001348.1	NC_001348.1_ORF2	1134	1862
NC_001348.1	NC_001348.1_ORF20	29005	30475
NC_001348.1	NC_001348.1_ORF21	30759	33905
NC_001348.1	NC_001348.1_ORF22	34083	42390
NC_001348.1	NC_001348.1_ORF23	42426	43138
NC_001348.1	NC_001348.1_ORF24	43211	44021
NC_001348.1	NC_001348.1_ORF25	44131	44618
NC_001348.1	NC_001348.1_ORF26	44506	47243
NC_001348.1	NC_001348.1_ORF27	46190	47243
NC_001348.1	NC_001348.1_ORF28	47031	50636
NC_001348.1	NC_001348.1_ORF29	50857	54523
NC_001348.1	NC_001348.1_ORF3	1890	2447
NC_001348.1	NC_001348.1_ORF30	54651	59648
NC_001348.1	NC_001348.1_ORF31	56819	59648
NC_001348.1	NC_001348.1_ORF32	59766	60213
NC_001348.1	NC_001348.1_ORF33	60309	62138
NC_001348.1	NC_001348.1_ORF33.5	60309	61229
NC_001348.1	NC_001348.1_ORF34	60309	63910
NC_001348.1	NC_001348.1_ORF35	60309	64753
NC_001348.1	NC_001348.1_ORF36	64364	65885
NC_001348.1	NC_001348.1_ORF37	66074	68616
NC_001348.1	NC_001348.1_ORF38	68647	70293
NC_001348.1	NC_001348.1_ORF39	70687	71369
NC_001348.1	NC_001348.1_ORF4	2777	4141
NC_001348.1	NC_001348.1_ORF40	71540	75763
NC_001348.1	NC_001348.1_ORF41	75847	76812
NC_001348.1	NC_001348.1_ORF42	76850	82593
NC_001348.1	NC_001348.1_ORF43	78170	80201
NC_001348.1	NC_001348.1_ORF44	80360	81514
NC_001348.1	NC_001348.1_ORF46	82719	86504
NC_001348.1	NC_001348.1_ORF47	83168	86504
NC_001348.1	NC_001348.1_ORF48	84667	86504
NC_001348.1	NC_001348.1_ORF49	86226	86504
NC_001348.1	NC_001348.1_ORF5	2777	5274
NC_001348.1	NC_001348.1_ORF50	86541	87882
NC_001348.1	NC_001348.1_ORF51	87881	92846
NC_001348.1	NC_001348.1_ORF52	90493	92846
NC_001348.1	NC_001348.1_ORF53	92850	93850
NC_001348.1	NC_001348.1_ORF54	92850	95984
NC_001348.1	NC_001348.1_ORF55	95996	99358
NC_001348.1	NC_001348.1_ORF56	98712	99358
NC_001348.1	NC_001348.1_ORF57	99387	99626
NC_001348.1	NC_001348.1_ORF58	99387	100272
NC_001348.1	NC_001348.1_ORF59	99387	101219
NC_001348.1	NC_001348.1_ORF6	2777	8577
NC_001348.1	NC_001348.1_ORF60	99387	101649
NC_001348.1	NC_001348.1_ORF61	103001	104485
NC_001348.1	NC_001348.1_ORF62	105141	109133
NC_001348.1	NC_001348.1_ORF63	110581	111431
NC_001348.1	NC_001348.1_ORF64	111565	112141
NC_001348.1	NC_001348.1_ORF65	112176	112640
NC_001348.1	NC_001348.1_ORF66	113037	114241
NC_001348.1	NC_001348.1_ORF67	114496	115592
NC_001348.1	NC_001348.1_ORF7	8607	9399
NC_001348.1	NC_001348.1_ORF8	9426	10667
NC_001348.1	NC_001348.1_ORF9	11009	11964
NC_001348.1	NC_001348.1_ORF9A	10642	11964
NC_001348.1	NC_001348.1_id-NC_001348.1:1..88	1	88
NC_001348.1	NC_001348.1_id-NC_001348.1:104925..105012	104925	105012
NC_001348.1	NC_001348.1_id-NC_001348.1:105013..112332	105013	112332
NC_001348.1	NC_001348.1_id-NC_001348.1:109762..109907	109762	109907
NC_001348.1	NC_001348.1_id-NC_001348.1:110190..110235	110190	110235
NC_001348.1	NC_001348.1_id-NC_001348.1:112333..117564	112333	117564
NC_001348.1	NC_001348.1_id-NC_001348.1:11959..11964	11959	11964
NC_001348.1	NC_001348.1_id-NC_001348.1:19391..19396	19391	19396
NC_001348.1	NC_001348.1_id-NC_001348.1:20692..21017	20692	21017
NC_001348.1	NC_001348.1_id-NC_001348.1:21244..21249	21244	21249
NC_001348.1	NC_001348.1_id-NC_001348.1:25550..25555	25550	25555
NC_001348.1	NC_001348.1_id-NC_001348.1:2777..2782	2777	2782
NC_001348.1	NC_001348.1_id-NC_001348.1:47238..47243	47238	47243
NC_001348.1	NC_001348.1_id-NC_001348.1:59643..59648	59643	59648
NC_001348.1	NC_001348.1_id-NC_001348.1:60309..60314	60309	60314
NC_001348.1	NC_001348.1_id-NC_001348.1:86499..86504	86499	86504
NC_001348.1	NC_001348.1_id-NC_001348.1:89..104924	89	104924
NC_001348.1	NC_001348.1_id-NC_001348.1:92841..92846	92841	92846
NC_001348.1	NC_001348.1_id-NC_001348.1:92850..92855	92850	92855
NC_001348.1	NC_001348.1_id-NC_001348.1:99353..99358	99353	99358
NC_001348.1	NC_001348.1_id-NC_001348.1:99387..99392	99387	99392
NC_007605.1	NC_007605.1_A73	155549	160531
NC_007605.1	NC_007605.1_BALF1	164388	164984
NC_007605.1	NC_007605.1_BALF2	160550	164356
NC_007605.1	NC_007605.1_BALF3	156244	160908
NC_007605.1	NC_007605.1_BALF4	156244	158912
NC_007605.1	NC_007605.1_BALF5	151372	156288
NC_007605.1	NC_007605.1_BARF0	159121	160536
NC_007605.1	NC_007605.1_BARF1	165008	165712
NC_007605.1	NC_007605.1_BBLF1	108459	109043
NC_007605.1	NC_007605.1_BBLF2/BBLF3	104403	106750
NC_007605.1	NC_007605.1_BBLF4	99537	101971
NC_007605.1	NC_007605.1_BBRF1	101588	104502
NC_007605.1	NC_007605.1_BBRF2	103660	104502
NC_007605.1	NC_007605.1_BBRF3	106693	108075
NC_007605.1	NC_007605.1_BCRF1	9631	10262
NC_007605.1	NC_007605.1_BDLF1	118066	121098
NC_007605.1	NC_007605.1_BDLF2	118066	120188
NC_007605.1	NC_007605.1_BDLF3	118066	118816
NC_007605.1	NC_007605.1_BDLF3.5	113191	117016
NC_007605.1	NC_007605.1_BDLF4	113191	116766
NC_007605.1	NC_007605.1_BFLF1	43691	46280
NC_007605.1	NC_007605.1_BFLF2	43691	44793
NC_007605.1	NC_007605.1_BFRF1	46544	49786
NC_007605.1	NC_007605.1_BFRF1A	46236	49786
NC_007605.1	NC_007605.1_BFRF2	47520	49786
NC_007605.1	NC_007605.1_BFRF3	49056	49786
NC_007605.1	NC_007605.1_BGLF1	113191	116144
NC_007605.1	NC_007605.1_BGLF2	113191	114641
NC_007605.1	NC_007605.1_BGLF3	108459	112825
NC_007605.1	NC_007605.1_BGLF3.5	108459	111829
NC_007605.1	NC_007605.1_BGLF4	108459	111326
NC_007605.1	NC_007605.1_BGLF5	108459	110053
NC_007605.1	NC_007605.1_BGRF1/BDRF1	112650	118064
NC_007605.1	NC_007605.1_BHLF1	38014	40529
NC_007605.1	NC_007605.1_BHRF1	41471	43251
NC_007605.1	NC_007605.1_BILF1	149025	152641
NC_007605.1	NC_007605.1_BILF2	137464	138282
NC_007605.1	NC_007605.1_BKRF2	97617	99504
NC_007605.1	NC_007605.1_BKRF3	98065	99504
NC_007605.1	NC_007605.1_BKRF4	98846	99504
NC_007605.1	NC_007605.1_BLLF1	77132	79904
NC_007605.1	NC_007605.1_BLLF2	77132	77763
NC_007605.1	NC_007605.1_BLLF3	75320	76231
NC_007605.1	NC_007605.1_BLRF1	76219	77129
NC_007605.1	NC_007605.1_BLRF2	76575	77129
NC_007605.1	NC_007605.1_BMRF1	67552	69916
NC_007605.1	NC_007605.1_BMRF2	68491	69916
NC_007605.1	NC_007605.1_BNLF2a	166483	167067
NC_007605.1	NC_007605.1_BNLF2b	166483	166836
NC_007605.1	NC_007605.1_BNRF1	1691	5856
NC_007605.1	NC_007605.1_BOLF1	49775	63034
NC_007605.1	NC_007605.1_BORF1	62729	66600
NC_007605.1	NC_007605.1_BORF2	63881	66600
NC_007605.1	NC_007605.1_BPLF1	49775	59904
NC_007605.1	NC_007605.1_BRLF1	89838	93925
NC_007605.1	NC_007605.1_BRRF1	92728	93827
NC_007605.1	NC_007605.1_BRRF2	93955	95631
NC_007605.1	NC_007605.1_BSLF1	70454	74593
NC_007605.1	NC_007605.1_BSLF2/BMLF1	70454	72068
NC_007605.1	NC_007605.1_BSRF1	74594	75316
NC_007605.1	NC_007605.1_BTRF1	127416	128686
NC_007605.1	NC_007605.1_BVLF1	134632	135627
NC_007605.1	NC_007605.1_BVRF1	133013	134886
NC_007605.1	NC_007605.1_BVRF2	135432	137455
NC_007605.1	NC_007605.1_BWRF1	12541	13692
NC_007605.1	NC_007605.1_BWRF1.1	15613	16764
NC_007605.1	NC_007605.1_BWRF1.2	18685	19836
NC_007605.1	NC_007605.1_BWRF1.3	21757	22908
NC_007605.1	NC_007605.1_BWRF1.4	24829	25980
NC_007605.1	NC_007605.1_BWRF1.5	27901	29052
NC_007605.1	NC_007605.1_BWRF1.6	30973	32124
NC_007605.1	NC_007605.1_BWRF1.7	34045	35196
NC_007605.1	NC_007605.1_BXLF1	128608	132846
NC_007605.1	NC_007605.1_BXLF2	128608	131021
NC_007605.1	NC_007605.1_BXRF1	132571	134886
NC_007605.1	NC_007605.1_BZLF1	89838	90943
NC_007605.1	NC_007605.1_BZLF2	89157	89872
NC_007605.1	NC_007605.1_BaRF1	66516	69916
NC_007605.1	NC_007605.1_BcLF1	121019	125422
NC_007605.1	NC_007605.1_BcRF1	125073	128686
NC_007605.1	NC_007605.1_BdRF1	136331	137455
NC_007605.1	NC_007605.1_EBNA-1	11305	97654
NC_007605.1	NC_007605.1_EBNA-1.1	50134	97654
NC_007605.1	NC_007605.1_EBNA-2	11305	37744
NC_007605.1	NC_007605.1_EBNA-3A	11305	82962
NC_007605.1	NC_007605.1_EBNA-3B/EBNA-3C	11305	89482
NC_007605.1	NC_007605.1_EBNA-LP	14352	37744
NC_007605.1	NC_007605.1_LF1	149025	151694
NC_007605.1	NC_007605.1_LF2	149025	150417
NC_007605.1	NC_007605.1_LF3	140570	143711
NC_007605.1	NC_007605.1_LMP-1	166483	169088
NC_007605.1	NC_007605.1_LMP-2A	58	171823
NC_007605.1	NC_007605.1_LMP-2A.1	1	5856
NC_007605.1	NC_007605.1_LMP-2B	58	171823
NC_007605.1	NC_007605.1_LMP-2B.1	1	5856
NC_007605.1	NC_007605.1_NC_007605.1:1..171823	1	171823
NC_007605.1	NC_007605.1_RPMS1	138352	160531
NC_007605.1	NC_007605.1_exon-NC_007605.1:6629..6795-1	6629	6795
NC_007605.1	NC_007605.1_exon-NC_007605.1:6956..7128-1	6956	7128
NC_007605.1	NC_007605.1_id-NC_007605.1:104497..104502	104497	104502
NC_007605.1	NC_007605.1_id-NC_007605.1:108471..108476	108471	108476
NC_007605.1	NC_007605.1_id-NC_007605.1:11305..11310	11305	11310
NC_007605.1	NC_007605.1_id-NC_007605.1:113191..113196	113191	113196
NC_007605.1	NC_007605.1_id-NC_007605.1:118066..118071	118066	118071
NC_007605.1	NC_007605.1_id-NC_007605.1:12001..15072	12001	15072
NC_007605.1	NC_007605.1_id-NC_007605.1:128608..128613	128608	128613
NC_007605.1	NC_007605.1_id-NC_007605.1:128681..128686	128681	128686
NC_007605.1	NC_007605.1_id-NC_007605.1:134881..134886	134881	134886
NC_007605.1	NC_007605.1_id-NC_007605.1:137438..137443	137438	137443
NC_007605.1	NC_007605.1_id-NC_007605.1:139724..151554	139724	151554
NC_007605.1	NC_007605.1_id-NC_007605.1:143207..144444	143207	144444
NC_007605.1	NC_007605.1_id-NC_007605.1:143272..144328	143272	144328
NC_007605.1	NC_007605.1_id-NC_007605.1:149025..149030	149025	149030
NC_007605.1	NC_007605.1_id-NC_007605.1:15073..18144	15073	18144
NC_007605.1	NC_007605.1_id-NC_007605.1:156244..156249	156244	156249
NC_007605.1	NC_007605.1_id-NC_007605.1:160508..160513	160508	160513
NC_007605.1	NC_007605.1_id-NC_007605.1:163520..166177	163520	166177
NC_007605.1	NC_007605.1_id-NC_007605.1:166483..166488	166483	166488
NC_007605.1	NC_007605.1_id-NC_007605.1:166487..166492	166487	166492
NC_007605.1	NC_007605.1_id-NC_007605.1:169636..170173	169636	170173
NC_007605.1	NC_007605.1_id-NC_007605.1:170174..170696	170174	170696
NC_007605.1	NC_007605.1_id-NC_007605.1:170697..171234	170697	171234
NC_007605.1	NC_007605.1_id-NC_007605.1:171235..171772	171235	171772
NC_007605.1	NC_007605.1_id-NC_007605.1:18145..21216	18145	21216
NC_007605.1	NC_007605.1_id-NC_007605.1:21217..24288	21217	24288
NC_007605.1	NC_007605.1_id-NC_007605.1:24289..27360	24289	27360
NC_007605.1	NC_007605.1_id-NC_007605.1:27361..30432	27361	30432
NC_007605.1	NC_007605.1_id-NC_007605.1:30433..33504	30433	33504
NC_007605.1	NC_007605.1_id-NC_007605.1:33127..40536	33127	40536
NC_007605.1	NC_007605.1_id-NC_007605.1:33356..40162	33356	40162
NC_007605.1	NC_007605.1_id-NC_007605.1:33505..35355	33505	35355
NC_007605.1	NC_007605.1_id-NC_007605.1:37715..37720	37715	37720
NC_007605.1	NC_007605.1_id-NC_007605.1:40301..41293	40301	41293
NC_007605.1	NC_007605.1_id-NC_007605.1:40366..41409	40366	41409
