"ID"	"kmer_coverage"	"bioproject"	"biosample"	"bioproject_title"	"bioproject_description"	"refs"	"sample_acc"	"assay_type"	"center_name"	"experiment"	"sample_name"	"organism"	"longitude"	"latitude"	"selected_location"	"locations"	"disease_source"	"disease_text"	"do_label"	"do_id"	"tissue"	"tissue_source"	"tissue_text"	"bto_id"	"contigs_n50"	"contigs_nbseq"	"contigs_maxlen"	"contigs_sumlen"	"unitigs_n50"	"unitigs_nbseq"	"unitigs_maxlen"	"unitigs_sumlen"	"instrument"	"librarylayout"	"libraryselection"	"librarysource"	"library_name"	"platform"	"sra_study"	"releasedate"	"mbytes"	"avgspotlen"	"mbases"	"biosamplemodel_sam"	"collection_date_sam"	"location_count"	"location_avg_coverage"	"location_max_coverage"	"location_min_coverage"	"location_med_coverage"
"SRR10885185"	"1"	"PRJNA593260"	"SAMN13740884"	"Viral infection of human neurons triggers strain-specific differences in host neuronal and viral transcriptomes"	"Infection with herpes simplex virus 1 (HSV-1) occurs in over half the global population, causing recurrent orofacial and/or genital lesions. Individual strains of HSV-1 demonstrate differences in neurovirulence in vivo, suggesting that viral genetic differences may impact strain phenotype. In the present study, differentiated SH-SY5Y human neuronal cells were infected with one of three HSV-1 strains known to differ in neurovirulence in vivo. Host and viral RNA were sequenced simultaneously, revealing strain-specific differences in viral and host transcription in infected neurons. Neuronal morphology and protein localization data revealed that HSV-1 induces strain-specific differences in neuronal structure and adherens junctions. Comparison of viral protein expression in neurons and epithelial cells demonstrated that a number of differences were neuron-specific, suggesting that strain-to-strain variations in host and virus transcription are cell type-dependent. Together, these data demonstrate the importance of studying virus strain- and cell-type-specific factors that may contribute to neurovirulence and highlight the specificity of HSV-1-host interactions."	"PMC:8016332"	"SRS5991563"	"RNA-Seq"	"PENNSYLVANIA STATE UNIVERSITY"	"SRX7554152"	"HSV1-McKrae-12hpi-replicate-2"	"Human alphaherpesvirus 1"	"-77.03196"	"38.89036"	"geo_loc_name_sam"	"{""geo_loc_name_country_calc"": [-77.03196, 38.89036], ""geo_loc_name"": [""-77.03196"", ""38.89036""]}"	""	""	""	""	""	""	""	""	"291"	"535341"	"14310"	"55649942"	"60"	"2765770"	"4910"	"158742166"	"Illumina MiSeq"	"SINGLE"	"cDNA"	"VIRAL RNA"	"McKrae-12hpi-rep2"	"ILLUMINA"	"SRP241914"	"2020-01-14T00:00:00"	"1752"	"100"	"4070"	"Viral"	""	"262"	"0.75"	"1"	"0.5"	"0.75"
"SRR26391922"	"1"	"PRJNA1027066"	"SAMN37774853"	"Homo sapiens Raw sequence reads"	"Analysis of UID mRNA-seq and related biological information in human species"	""	"SRS19163402"	"RNA-Seq"	"DALIAN INSTITUTE OF CHEMICAL PHYSICS, CHINESE ACADEMY OF SCIENCES"	"SRX22097855"	"EC-MOCK_14"	"Homo sapiens"	"14.44105"	"50.07738"	"geo_loc_name"	"{""geo_loc_name_country_calc"": [116.38765, 39.90657], ""geo_loc_name_sam"": [""14.44105"", ""50.07738""]}"	""	""	""	""	""	""	""	""	"302"	"419993"	"4288"	"54966077"	"36"	"6675518"	"1298"	"294408500"	"Illumina HiSeq X"	"PAIRED"	"unspecified"	"TRANSCRIPTOMIC"	"HA-HSV_2"	"ILLUMINA"	"SRP466471"	"2023-10-16T00:00:00"	"944"	"272"	"3326"	"Human"	"2022-12-09"	"12"	"0.91"	"1"	"0.52"	"1"
"SRR11937721"	"1"	"PRJNA637636"	"SAMN15147633"	"Wide-spread disruption of transcription termination in HSV-1 infection:  Next generation sequencing of total and newly transcribed (4sU-RNA) RNA from different virus strains and mutant viruses"	"Primary human foreskin fibroblasts (HFF) were infected with the indicated HSV-1 strains and mutants thereof at a multiplicity of infection (MOI) of 10. Newly transcribed RNA was labelled by adding 500µM 4-thiouridine (4sU) to the cell culture media for 1h. Total cellular RNA was isolated using Trizol. Newly transcribed RNA was purified following the protocol described in Raedle et al. JoVE 2013.Overall design: Newly transcribed RNA was labelled for one hour at the indicated times of infection. Cells were harvested immediately thereafter using Trizol. Following isolation of total RNA and thiol-specific biotinylation, 4sU-RNA was purified and subjected to RNA-seq following rRNA depletion using Ribo-zero. Two independent biological replicates were analysed."	"PubMed:31941886"	"SRS6782951"	"RNA-Seq"	"GEO"	"SRX8483054"	"GSM4593514"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"39"	"1029738"	"4396"	"53837099"	"39"	"9291628"	"1457"	"401697168"	"NextSeq 500"	"PAIRED"	"cDNA"	"TRANSCRIPTOMIC"	""	"ILLUMINA"	"SRP266175"	"2020-06-08T00:00:00"	"2693"	"152"	"6914"	""	""	"0"	""	""	""	""
"SRR8723614"	"1"	"PRJNA526899"	"SAMN11119563"	"The CCCTC binding factor, CTRL2, controls heterochromatin deposition and the establishment of HSV-1 latency in vivo"	"The cellular insulator  CCCTC-binding factor (CTCF) plays a role in HSV-1 latency through the establishment of chromatin boundaries. We previously found that the CTRL2 regulatory element downstream from the LAT enhancer  is bound by CTCF during latency and undergoes CTCF eviction at early times post-reactivation in mice latent with 17Syn+ . It has been previously shown that the CTRL2 binding domain is a functional insulator with both enhancer-blocking and silencing capabilities. Considering these findings, we hypothesized that the CTRL2 site plays a key role in regulating latent HSV-1 gene expression. To test this, we used a mutant virus with a 135 bp deletion spanning only the core CTRL2 domain (DCTRL2) in the 17Syn+ background. Following ocular infection of mice, we found significant differences between DCTRL2 and wild-type virus during the acute infection and latency. Notably, mouse mortalities were significantly higher in the DCTRL2 virus compared to the 17Syn+, while lower viral genomes were found after latency indicating that deletion of CTRL2 site disrupted latency establishment.  This fact, coupled with increased LAT intron and VP16 expression indicated that the establishment of latency was disrupted in the DCTRL2 mutant. These data provide evidence that chromatin domains of the latent HSV-1 genome are in part maintained by the CTRL2 binding.Overall design: 4-6 weeks of age BALB/c mice were anesthetized using intramuscular injections of ketamine and xylazine infected with 2 different strains of HSV1 (WT and DeltaCTRL2) in the corneal epithelium. (ChIP-seq) was performed using trigeminal ganglia (TG) from three mice."	""	"SRS4484235"	"ChIP-Seq"	"GEO"	"SRX5516841"	"GSM3669466"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"159"	"2233030"	"4239"	"175441555"	"85"	"14776480"	"1714"	"904008345"	"Illumina HiSeq 2500"	"PAIRED"	"ChIP"	"GENOMIC"	""	"ILLUMINA"	"SRP188364"	"2019-04-05T00:00:00"	"2091"	"202"	"5409"	""	""	"0"	""	""	""	""
"SRR19779318"	"1"	"PRJNA851702"	"SAMN19312007"	"Total RNA-Seq in HSV-1 infected human fibroblasts"	"Confluent MRC5 cells were infected with 10 PFU virus per cell. Viruses used in this study include: KOS (wildtype), n12 (delta ICP4), 5dl1.2 (delta ICP27), n199 (delta ICP22), and hp66 (delta UL30). Virus was adsorbed in PBS for 1 hr at room temperature. Viral inoculum was removed, and cells were washed quickly with PBS before adding on 1x DMEM media supplemented with 2% FBS. 0 hour time point was considered after adsorption of infected monolayers when cells were place at 37 degrees Celsius to incubate. If indicated, cells were treated with 75 ug/mL Cycloheximide or 300 ug/mL Phosphonacetic Acid at 0 hr post infection. Total RNA was isolated at 12 hours post infection from cells using the Direct-zol RNA MiniPrep Kit.</p><p>Samples infected with KOS for 12 hours were also subjected to RNaseR digestion followed by sequencing. For these samples, 7 ug total RNA was combined with 1x E-PAP Buffer, 2.5 mM MnCl2, 1 mM ATP, 40 Units RNase Inhibitor, and 8 Units E-PAP. Poly-A tailing reactions were incubated at 37 degrees C for 10 minutes. RNA was acid-phenol chloroform extracted, ethanol precipitated, and resuspended in nuclease-free water. PolyA-Tailed material was combined with 20 Units RNase Inhibitor , 20 Units RNase R, 100 mM LiCl, 20 mM Tris-HCl pH 8.0, 0.1 mM MgCl2. RNA was RNase R digested at 37 degrees C for 30 minutes, following clean-up with the RNA Clean and Concentration Kit.</p><p>ERCC spike-in controls were added to total RNA. All samples (untreated, or RNaseR digested) were ribominus selected and directional cDNA libraries were generated using either Stranded Total RNA Prep with Ribo-Zero Plus (Illumina # 20040525) or TruSeq Stranded Total RNA Ribo-Zero Gold (Illumina #RS-122-2303). 2-4 biological replicates were sequenced for all samples. Sequencing was performed at the NCI CCR Frederick Sequencing Facility using the Illumina NovaSeq SP platform to generate 150 bp PE reads."	""	"SRS9049301"	"RNA-Seq"	"NATIONAL CANCER INSTITUTE"	"SRX15823654"	"Total RNA-Seq in HSV-1 infected human fibroblasts"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"155"	"8288542"	"8760"	"568924268"	"35"	"55224239"	"2004"	"2390914767"	"Illumina NovaSeq 6000"	"PAIRED"	"Reduced Representation"	"TRANSCRIPTOMIC"	"KOS"	"ILLUMINA"	"SRP383035"	"2023-01-14T00:00:00"	"10157"	"302"	"32697"	"Human"	""	"0"	""	""	""	""
"SRR8889161"	"1"	"PRJNA532584"	"SAMN11404307"	"Total and newly transcribed (4sU-RNA) RNA of primary human fibroblasts infected with the vhs-null mutant of HSV-1"	"Primary human foreskin fibroblasts (HFF) were infected with vhs-null mutant of HSV-1 strain 17 at a multiplicity of infection (MOI) of 10. Newly transcribed RNA was labelled by adding 500µM 4-thiouridine (4sU) to the cell culture media for 1h. Total cellular RNA was isolated using Trizol. Newly transcribed RNA was purified following the protocol described in Raedle et al. JoVE 2013.Overall design: Primary human foreskin fibroblasts (HFF) were infected with the vhs-null mutant of HSV-1 strain 17 at a multiplicity of infection (MOI) of 10. Newly transcribed RNA was labelled by adding 500µM 4-thiouridine (4sU) to the cell culture media for 1h. Total cellular RNA was isolated using Trizol. Newly transcribed RNA was purified following the protocol described in Raedle et al. JoVE 2013 and Rutkowski et al. 2015."	"PubMed:33148793"	"SRS4616931"	"RNA-Seq"	"GEO"	"SRX5674872"	"GSM3720775"	"Homo sapiens"	""	""	""	""	"infection with"	"herpes simplex"	"herpes simplex"	"DOID_8566"	""	""	""	""	"168"	"986614"	"9400"	"67590839"	"41"	"8596434"	"1771"	"390505908"	"NextSeq 500"	"PAIRED"	"cDNA"	"TRANSCRIPTOMIC"	""	"ILLUMINA"	"SRP192356"	"2020-10-26T00:00:00"	"2631"	"150"	"6361"	""	""	"0"	""	""	""	""
"SRR1122876"	"1"	"PRJNA61367"	"SAMN00189938"	"Broad miscellaneous virus genome sequencing project"	"This project was created to facilitate virus data submission by the Broad Institute and should be used when the virus being sequenced does not fit into a larger ""effort driven"" project."	""	"SRS151569"	"WGS"	"BI"	"SRX436321"	"PRJNA32415.HSV1_KOS"	"Human alphaherpesvirus 1 strain KOS"	""	""	""	""	""	""	""	""	""	""	""	""	"34"	"523720"	"3290"	"18837867"	"33"	"9089807"	"781"	"319457677"	"Illumina HiSeq 2000"	"PAIRED"	"RANDOM"	"GENOMIC"	"Pond-230515"	"ILLUMINA"	"SRP007368"	"2014-01-16T00:00:00"	"2375"	"202"	"4493"	""	""	"0"	""	""	""	""
"SRR12632753"	"1"	"PRJNA663253"	"SAMN15862267"	"DNA  methylation analysis of spontaneous breast intraductal papilloma of tree shrew"	"Our study provided a systematic exploration of DNA methylation profiles in spontaneous intraductal papilloma and mammary gland of the tree shrews, in order to reveal the develoment mechanism of spontaneous intraductal papilloma in tree shrews."	""	"SRS7230466"	"Bisulfite-Seq"	"INSTITUTE OF MEDICAL BIOLOGY,CHINESE ACADEMY OF MEDICAL SCIENCES"	"SRX9114988"	"Control-3"	"Tupaia chinensis"	""	""	""	""	""	""	""	""	"mammary gland"	"tissue"	"mammary gland"	"BTO_0000817"	"106"	"84386247"	"10303"	"5427146443"	"45"	"323730484"	"1327"	"15051270572"	"Illumina HiSeq 4000"	"PAIRED"	"RANDOM PCR"	"GENOMIC"	"Control-3"	"ILLUMINA"	"SRP282283"	"2021-05-12T00:00:00"	"28242"	"300"	"86980"	"Model organism or animal"	""	"0"	""	""	""	""
"SRR23567514"	"1"	"PRJNA937264"	"SAMN33393747"	"Encephalitis and poor neuronal death-mediated control of herpes simplex virus  in human inherited RIPK3 deficiency"	"We hypothesize that human RIPK3 deficiency does not result in impairment of type I IFN mediated antiviral immunity, contrasting with the situation in deficiencies of the TLR3-IFNAR1 circuit. To test the cellular responses to HSV1 at the wide transcriptome level, bulk RNA sequencing was performed with human primary fibroblasts without or with HSV-1 infection for 24 hours, in cells from healthy controls, RIPK3 HSE patient and other patients with recessive TLR3, IFNAR1 or NEMO deficiency. RNA was extracted from primary fibroblasts with the Quick RNA MicroPre Kit. RNA-Seq libraries were prepared with the Illumina RiboZero TruSeq Stranded Total RNA Library Prep Kit and RNA-sequencing was performed on the Illumina NovaSeq platform, with a read length of 100 bp and a read depth of 40 million reads."	""	"SRS16846993"	"RNA-Seq"	"ROCKEFELLER UNIVERSITY"	"SRX19454322"	"RIPK3_HSV"	"Homo sapiens"	""	""	""	""	""	""	""	""	"fibroblast"	"tissue"	"fibroblast"	"BTO_0000452"	"60"	"1400747"	"9627"	"84313136"	"35"	"12966472"	"2622"	"541598884"	"Illumina NovaSeq 6000"	"PAIRED"	"cDNA"	"TRANSCRIPTOMIC"	"RIPK3_HSV"	"ILLUMINA"	"SRP423721"	"2023-02-21T00:00:00"	"3562"	"202"	"11944"	"Human"	""	"0"	""	""	""	""
"SRR5765660"	"1"	"PRJNA392299"	"SAMN07290466"	"ATAC-seq on HSV-1 infected primary human fibroblasts (time course)"	"Primary human foreskin fibroblasts (HFF) were infected with wild-type simplex virus 1 (HSV-1) strain 17 at a multiplicity of infection (MOI) of 10. ATAC-seq libraries were prepared starting with 50,000 cells per condition following the protocol described by Buenrostro et al., Nature Methods 2013Overall design: HFF were infected with HSV-1 strain 17 for 0 to 8 h post infection. ATAC-seq samples were prepared at the indicated times of infection. Two independent biological replicates were analyzed."	"PubMed:29579120,40130876"	"SRS2322710"	"ATAC-seq"	"GEO"	"SRX2965236"	"GSM2688940"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"167"	"176517"	"3302"	"12579795"	"53"	"4163017"	"1222"	"209647201"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	""	"ILLUMINA"	"SRP110695"	"2018-03-08T00:00:00"	"439"	"133"	"1148"	""	""	"0"	""	""	""	""
